SampleID,X,Y,Z,dist_fault,Lith_Schist,Lith_AndesiteTuff,slope,aspect,Pb,Cu,Zn,dist_to_Cu_hotspot,dist_to_Pb_hotspot,dist_to_Zn_hotspot,Cu_knn_mean,Cu_knn_std,Pb_knn_mean,Pb_knn_std,Zn_knn_mean,Zn_knn_std
246,532017.3,4418657.02,299,1138.299591,1,0,9.444565773,220.4260712,20,63,80,98.94997534,140.8758552,198.2596816,86.75,52.5565172,22.5,7.5,34.375,20.06824295
247,531978.05,4418686.49,293,1134.962226,1,0,15.63350201,219.5596619,15,55,20,99.1785123,179.5726274,195.1079803,95.75,55.98381463,19.375,8.07677999,32.5,19.52562419
248,531940.65,4418715.73,295,1134.677029,1,0,13.1311245,239.8264771,15,93,20,97.09628871,195.4642288,204.4903079,101.125,51.80115226,17.5,5,39.375,18.61409076
249,531900.77,4418745,284,1134.989996,1,0,8.009030342,216.8699036,15,65,25,105.664902,168.2444152,179.8697548,81.375,49.79693138,35,32.9772649,39.375,17.21872164
250,531861.66,4418775.01,286,1138.494809,1,0,6.116198063,203.1985931,30,80,45,94.54812607,131.2159546,141.0918343,217.25,300.3630095,46.875,37.74399787,45,16.77050983
251,531823.82,4418803.53,290,1143.453602,1,0,8.70599556,152.650116,35,70,50,47.14612488,95.77588876,112.2891616,269.375,297.0420583,80,71.15124735,45,16.95582496
252,531786.37,4418832.14,300,1150.605889,1,0,9.960208893,124.1144714,40,175,35,0,48.63085985,98.72865883,238.75,205.7266086,72.5,71.76350047,61.25,39.82383081
253,531747.46,4418861.28,307,1159.491394,1,0,10.9884119,142.8533173,175,140,20,47.14051704,0,107.4483178,197.25,197.2826335,47.5,48.86205071,53.75,43.28322423
254,531710.04,4418889.92,313,1170.449024,1,0,15.49071026,203.9624939,15,700,30,0,47.14051704,133.060604,194.125,199.4595432,46.875,49.0495604,50,44.72135955
281,532760.35,4418217.43,216,1559.191527,1,0,16.5216713,341.5650635,20,18,65,625.5303197,309.050853,402.2140785,17.125,8.908387901,23.125,9.980449639,56.25,8.926785536
282,532723.42,4418244.51,202,1530.987642,1,0,21.08725929,341.5650635,30,15,55,580.2199704,266.2979997,358.1729817,17.375,8.816709987,24.375,10.13579671,56.875,8.637671851
283,532684.1,4418274.52,187,1502.275116,1,0,19.52388573,322.5238037,25,13,50,531.5448703,221.0661567,310.869267,14.875,2.420614591,30.625,6.817945072,56.875,8.267972847
284,532648.01,4418301.42,170,1476.675393,1,0,12.56922245,292.2490234,30,15,55,487.2897292,182.1197605,268.6963461,15.75,3.596873642,29.375,5.829611908,58.75,7.806247498
285,532609.79,4418330.69,165,1450.876421,1,0,3.395092249,71.56504822,25,15,50,440.2712889,144.0020577,224.5437924,16.375,3.838538133,28.125,4.284784125,59.375,9.822646028
286,532571.52,4418360.37,177,1426.348981,1,0,21.98789787,120.7354889,20,25,55,393.3245842,113.3723375,182.0275545,17.875,3.7562448,38.75,27.2431184,66.25,22.04399011
287,532532,4418390.33,201,1402.042724,1,0,17.69229317,138.5763397,35,15,60,345.5222011,98.75648186,142.844934,21.375,4.442338911,65,57.22761571,75.625,22.97246994
288,532493.88,4418418.72,211,1379.658521,1,0,19.0880928,147.171463,110,20,120,300.1278702,107.1500524,113.5991212,36.625,39.20758058,75,54.37140793,81.25,21.32340264
289,532454.31,4418449.28,229,1358.30617,1,0,21.70351601,158.574707,45,25,100,253.5717089,111.8307553,98.60285369,21.625,3.672107705,59.375,27.8878894,94.375,20.83229164
290,532416.55,4418478.3,242,1339.284668,1,0,15.82010937,155.5560455,70,25,90,210.6521453,98.07851565,98.07851565,23.5,9.394147114,95.625,84.61078167,107.5,22.63846285
291,532377.48,4418507.56,260,1320.719924,1,0,23.02360725,132.3162231,35,18,70,168.9468989,107.1940211,98.17303595,38,28.26216552,63.125,30.09749782,90,19.36491673
292,532339.94,4418535.97,276,1304.520518,1,0,14.89866924,130.7108459,45,45,105,133.560668,112.3033968,98.58712557,26.5,8.124038405,62.5,32.11308145,112.5,64.37196595
293,532300,4418566.11,278,1288.90185,1,0,6.477291584,218.2901611,25,33,65,106.3520755,97.98366506,97.98366506,48.625,47.64697656,203.75,335.2960446,108.75,65.37153432
294,532263.36,4418594.1,280,1276.341951,1,0,12.0057621,221.4236603,30,20,100,98.92207833,98.92207833,105.8735815,46.375,47.49720387,201.25,336.4497548,103.75,63.92133838
